*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=daisychain_hub --pi
*Date=15:07:43
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
167;;THT;15.3107;-62.1098;90;Bottom;J5
168;;;23.9951;-21.5601;0;Bottom;TXT2
169;;;1.5748;-48.047;0;Bottom;Copper Fill73
170;;;20.066;-51.9586;0;Bottom;Copper Fill11
171;;;5.9436;-6.0608;0;Bottom;Copper Fill43
172;;;5.842;-39.1951;0;Bottom;Copper Fill49
173;;;7.26547;-11.1844;0;Bottom;TXT2
174;;;23.5077;-56.6322;0;Bottom;Copper Fill115
175;;;23.5077;-42.3066;0;Bottom;Copper Fill54
176;;;23.6554;-26.6189;0;Bottom;TXT2
177;;;3.81;-20.0816;0;Bottom;Copper Fill37
178;;;22.3774;-54.4986;0;Bottom;Copper Fill3
179;;;22.3012;-51.9586;0;Bottom;Copper Fill67
180;;;16.604;-59.2746;-90;Bottom;TXT2
181;;;21.6281;-61.3566;0;Bottom;Copper Fill127
