pm[0] = -380.249 pm[1] = 37.322 pm[2] = 0.041  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -383.047 pm[1] = -26.584 pm[2] = 0.007  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -379.337 pm[1] = -26.124 pm[2] = 0.008  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -375.124 pm[1] = 1.685 pm[2] = -0.083  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -384.517 pm[1] = -1.086 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -379.414 pm[1] = 33.319 pm[2] = 0.004  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -378.666 pm[1] = -85.159 pm[2] = -0.038  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -355.497 pm[1] = -169.442 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -328.554 pm[1] = -224.540 pm[2] = 0.008  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -348.571 pm[1] = -182.973 pm[2] = -1.678  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -268.068 pm[1] = -159.588 pm[2] = -350.250  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -382.618 pm[1] = 38.522 pm[2] = 0.803  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -237.537 pm[1] = 56.662 pm[2] = -408.580  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -384.601 pm[1] = 67.294 pm[2] = 1.670  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -379.264 pm[1] = 90.586 pm[2] = -0.028  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -388.579 pm[1] = -72.362 pm[2] = 0.045  t = 19
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -384.338 pm[1] = -75.367 pm[2] = -0.127  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -366.896 pm[1] = -121.781 pm[2] = 0.068  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -373.473 pm[1] = -85.403 pm[2] = -0.003  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 340.658 pm[1] = -212.373 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -384.153 pm[1] = 14.974 pm[2] = -0.003  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 361.216 pm[1] = -175.805 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 343.878 pm[1] = -216.701 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -368.100 pm[1] = -165.743 pm[2] = 1.105  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -199.066 pm[1] = -268.308 pm[2] = 341.505  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 285.302 pm[1] = -302.769 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 322.988 pm[1] = -253.675 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 323.769 pm[1] = -247.267 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
